Feature,Ridge_L2,Lasso_L1,Elastic_Net
StudentID,0.001689309447802743,0.0,0.0
Gender,-0.0017335281462897653,-0.0,-0.0
City,0.0003498894938429924,0.0,0.0
CollegeTier,-0.008502556580524175,-0.0,-0.003140449013359337
Stream,-0.002330331081650748,-0.0,-0.000741312219361335
Specialisation,-0.0016544118398954463,-0.0,-0.0
Hostel,0.0012624337128341497,0.0,0.0
HistoryOfBacklogs,-0.09180071823344307,-0.04397496281621064,-0.06825267603532452
SGPA_Sem1,-0.023162870261202017,-0.0,-0.0
SGPA_Sem2,-0.025836913383910774,-0.0,-0.0
SGPA_Sem3,-0.009557210213594822,-0.0,-0.0
SGPA_Sem4,-0.0053864132435947325,-0.0,-0.0
SGPA_Sem5,0.007786511887675082,-0.0,-0.0
SGPA_Sem6,0.01792019396706283,-0.0,-0.0
SGPA_Sem7,0.014007261838509888,-0.0,-0.0
SGPA_Sem8,0.028713056031640358,-0.0,-0.0
CGPA,-0.11056075376460155,-0.0118980824745504,-0.0504166893232386
AttendancePercent,0.00782628645462185,0.0030945429336490748,0.0058482920225266044
Internships,0.01935129659205424,0.01404408259933232,0.016265248309272447
Projects,0.01892052703638551,0.012445538293516373,0.01480595569327182
Workshops,-0.005645836113538986,0.0,0.0
Certifications,0.0015161426844367716,0.004366500099395421,0.003503494741584715
Publications,-0.01860727843927888,-0.0,-0.0011199839873848227
AptitudeTestScore,0.03348248897848377,0.020913764569173855,0.026728976857329844
SoftSkillsRating,0.01752975815606137,0.028910007292305116,0.025246576084223624
CodingTestScore,0.02624702482959047,0.0,0.009546897201864458
MockInterviewScore,0.007065087835731439,0.02315133727567414,0.016780591745274305
ExtraCurricular,-0.040731821828164795,-0.014997056557186035,-0.02598230960427349
CGPA_Tier,0.29079748429477936,0.23670885916135218,0.2546155819524247
Salary Package,0.5233274184492628,0.41179556796349853,0.44878440743252784
IsAnomaly,-0.002092890462020988,-0.0,-0.0
