Feature,Importance
numeric__Salary Package,0.3246408271156686
numeric__SGPA_Sem2,0.07684281469283813
numeric__Internships,0.05788470359181061
numeric__CGPA,0.05531487813416736
numeric__ExtraCurricular,0.052088042232980136
numeric__AttendancePercent,0.03469726108695983
numeric__SGPA_Sem3,0.03390967222233955
numeric__AptitudeTestScore,0.032926208620585755
numeric__SoftSkillsRating,0.03239485816239658
numeric__SGPA_Sem1,0.025659183047493674
numeric__SGPA_Sem7,0.02475865959005709
numeric__SGPA_Sem8,0.022904713881930848
categorical__HistoryOfBacklogs_No,0.02240007433956977
numeric__MockInterviewScore,0.02208395112225464
numeric__SGPA_Sem5,0.019403496091531736
categorical__City_Chennai,0.018691225100869503
categorical__CGPA_Tier_Mid,0.01818265644429493
numeric__SGPA_Sem4,0.016329448962116286
numeric__CodingTestScore,0.013149163989634815
categorical__Stream_CS,0.011965051045754424
numeric__StudentID,0.011258673746175497
numeric__SGPA_Sem6,0.010362330858109519
numeric__Projects,0.009685781619860997
categorical__Stream_Civil,0.006854183805239775
categorical__City_Jaipur,0.006805023501183967
categorical__CollegeTier_Tier1,0.0066652576312616575
categorical__City_Hyderabad,0.005520774723750636
numeric__Publications,0.005208835510598704
numeric__Workshops,0.004502907944088697
categorical__Gender_Female,0.004016650709855623
categorical__Hostel_Yes,0.0032024202613193
categorical__Specialisation_Networking,0.0031837056989115703
numeric__Certifications,0.0028592059803947013
categorical__CollegeTier_Tier2,0.002170169866010343
categorical__City_Kochi,0.0014771886679848724
numeric__IsAnomaly,0.0
categorical__City_Delhi,0.0
categorical__City_Ahmedabad,0.0
categorical__Gender_Male,0.0
categorical__CollegeTier_Tier3,0.0
categorical__City_Kolkata,0.0
categorical__City_Mumbai,0.0
categorical__City_Pune,0.0
categorical__City_Bangalore,0.0
categorical__Stream_ECE,0.0
categorical__Stream_EE,0.0
categorical__Stream_IT,0.0
categorical__Specialisation_Embedded,0.0
categorical__Specialisation_DataScience,0.0
categorical__Specialisation_AI,0.0
categorical__Stream_Mechanical,0.0
categorical__Hostel_No,0.0
categorical__HistoryOfBacklogs_Yes,0.0
categorical__CGPA_Tier_High,0.0
categorical__CGPA_Tier_Low,0.0
