Feature,Importance
numeric__Salary Package,0.9988288237345972
numeric__CGPA,0.0004970298949288168
numeric__ExtraCurricular,0.00021126386503141138
categorical__HistoryOfBacklogs_No,0.00012748574825093334
numeric__SGPA_Sem5,9.549733882125722e-05
numeric__SoftSkillsRating,8.958640769640396e-05
categorical__Stream_EE,6.963347622383352e-05
numeric__Internships,5.1077604838696704e-05
numeric__SGPA_Sem4,2.2968906568727343e-05
numeric__SGPA_Sem2,6.633023042654215e-06
numeric__SGPA_Sem3,0.0
numeric__SGPA_Sem6,0.0
numeric__AttendancePercent,0.0
numeric__StudentID,0.0
numeric__SGPA_Sem1,0.0
numeric__Certifications,0.0
numeric__Workshops,0.0
numeric__Projects,0.0
numeric__Publications,0.0
numeric__CodingTestScore,0.0
numeric__AptitudeTestScore,0.0
numeric__SGPA_Sem8,0.0
numeric__SGPA_Sem7,0.0
numeric__IsAnomaly,0.0
numeric__MockInterviewScore,0.0
categorical__Gender_Female,0.0
categorical__Gender_Male,0.0
categorical__City_Chennai,0.0
categorical__City_Delhi,0.0
categorical__City_Ahmedabad,0.0
categorical__City_Bangalore,0.0
categorical__City_Kochi,0.0
categorical__City_Kolkata,0.0
categorical__City_Mumbai,0.0
categorical__City_Pune,0.0
categorical__CollegeTier_Tier1,0.0
categorical__CollegeTier_Tier2,0.0
categorical__City_Hyderabad,0.0
categorical__City_Jaipur,0.0
categorical__Stream_CS,0.0
categorical__CollegeTier_Tier3,0.0
categorical__Stream_ECE,0.0
categorical__Stream_Civil,0.0
categorical__Stream_Mechanical,0.0
categorical__Specialisation_AI,0.0
categorical__Specialisation_DataScience,0.0
categorical__Stream_IT,0.0
categorical__Specialisation_Embedded,0.0
categorical__Specialisation_Networking,0.0
categorical__Hostel_No,0.0
categorical__Hostel_Yes,0.0
categorical__HistoryOfBacklogs_Yes,0.0
categorical__CGPA_Tier_High,0.0
categorical__CGPA_Tier_Low,0.0
categorical__CGPA_Tier_Mid,0.0
