Feature,Importance
numeric__SGPA_Sem7,0.15385330255763788
numeric__SGPA_Sem8,0.1462431710225802
numeric__SGPA_Sem5,0.10044048288376069
numeric__SGPA_Sem6,0.07929122905016557
numeric__MockInterviewScore,0.06739265491505415
numeric__CodingTestScore,0.06257533660648823
numeric__SGPA_Sem4,0.06119503368773726
numeric__CGPA,0.054008343686214856
numeric__Projects,0.04632465923955076
numeric__SoftSkillsRating,0.0400129225976783
numeric__SGPA_Sem1,0.0363225628215205
numeric__SGPA_Sem3,0.029642780982277447
numeric__SGPA_Sem2,0.028887280555458757
numeric__Internships,0.027835435020094574
numeric__AptitudeTestScore,0.024811978492187668
numeric__Certifications,0.023943739046292694
numeric__AttendancePercent,0.008966835848371003
numeric__Workshops,0.0037866073480891443
numeric__Publications,0.0024161602310601477
numeric__IsAnomaly,0.0015558522095691467
numeric__ExtraCurricular,0.0004936311982111891
